CSFSP80053Index,CSFSubcategoryID,SP80053ControlDetailID
181,DE.AE-3,IR-5
182,DE.AE-3,IR-5 (1)
184,DE.AE-3,SI-4 (1)
185,DE.AE-3,SI-4 (10)
186,DE.AE-3,SI-4 (11)
187,DE.AE-3,SI-4 (12)
188,DE.AE-3,SI-4 (13)(a)
189,DE.AE-3,SI-4 (13)(b)
190,DE.AE-3,SI-4 (13)(c)
191,DE.AE-3,SI-4 (14)
192,DE.AE-3,SI-4 (15)
193,DE.AE-3,SI-4 (16)
194,DE.AE-3,SI-4 (17)
195,DE.AE-3,SI-4 (18)
196,DE.AE-3,SI-4 (19)
197,DE.AE-3,SI-4 (2)
198,DE.AE-3,SI-4 (20)
199,DE.AE-3,SI-4 (21)
200,DE.AE-3,SI-4 (22)
201,DE.AE-3,SI-4 (23)
202,DE.AE-3,SI-4 (24)
203,DE.AE-3,SI-4 (3)
204,DE.AE-3,SI-4 (4)
205,DE.AE-3,SI-4 (5)
206,DE.AE-3,SI-4 (7)
207,DE.AE-3,SI-4 (9)
208,DE.AE-3,SI-4a.1
209,DE.AE-3,SI-4a.2
210,DE.AE-3,SI-4b
211,DE.AE-3,SI-4c.1
212,DE.AE-3,SI-4c.2
213,DE.AE-3,SI-4d
214,DE.AE-3,SI-4e
215,DE.AE-3,SI-4f
216,DE.AE-3,SI-4g
218,DE.AE-4,CP-2 (1)
219,DE.AE-4,CP-2 (2)
220,DE.AE-4,CP-2 (3)
221,DE.AE-4,CP-2 (4)
222,DE.AE-4,CP-2 (5)
223,DE.AE-4,CP-2 (6)
224,DE.AE-4,CP-2 (7)
225,DE.AE-4,CP-2 (8)
226,DE.AE-4,CP-2a.1
227,DE.AE-4,CP-2a.2
228,DE.AE-4,CP-2a.3
229,DE.AE-4,CP-2a.4
230,DE.AE-4,CP-2a.5
231,DE.AE-4,CP-2a.6
232,DE.AE-4,CP-2b
233,DE.AE-4,CP-2c
234,DE.AE-4,CP-2d
235,DE.AE-4,CP-2e
236,DE.AE-4,CP-2f
237,DE.AE-4,CP-2g
239,DE.AE-4,IR-4 (1)
240,DE.AE-4,IR-4 (10)
241,DE.AE-4,IR-4 (2)
242,DE.AE-4,IR-4 (3)
243,DE.AE-4,IR-4 (4)
244,DE.AE-4,IR-4 (5)
245,DE.AE-4,IR-4 (6)
246,DE.AE-4,IR-4 (7)
247,DE.AE-4,IR-4 (8)
248,DE.AE-4,IR-4 (9)
249,DE.AE-4,IR-4a
250,DE.AE-4,IR-4b
251,DE.AE-4,IR-4c
253,DE.AE-4,RA-3a
254,DE.AE-4,RA-3b
255,DE.AE-4,RA-3c
256,DE.AE-4,RA-3d
257,DE.AE-4,RA-3e
259,DE.AE-4,SI-4 (1)
260,DE.AE-4,SI-4 (10)
261,DE.AE-4,SI-4 (11)
262,DE.AE-4,SI-4 (12)
263,DE.AE-4,SI-4 (13)(a)
264,DE.AE-4,SI-4 (13)(b)
265,DE.AE-4,SI-4 (13)(c)
266,DE.AE-4,SI-4 (14)
267,DE.AE-4,SI-4 (15)
268,DE.AE-4,SI-4 (16)
269,DE.AE-4,SI-4 (17)
270,DE.AE-4,SI-4 (18)
271,DE.AE-4,SI-4 (19)
272,DE.AE-4,SI-4 (2)
273,DE.AE-4,SI-4 (20)
274,DE.AE-4,SI-4 (21)
275,DE.AE-4,SI-4 (22)
276,DE.AE-4,SI-4 (23)
277,DE.AE-4,SI-4 (24)
278,DE.AE-4,SI-4 (3)
279,DE.AE-4,SI-4 (4)
280,DE.AE-4,SI-4 (5)
281,DE.AE-4,SI-4 (7)
